Dep_Code,Arr_Code,Dep_Date,Arr_Date,airline,baggage,flightstops,totaltime,Scrap_Date,triptype,price
DXB,LGW,8/22/2025 1:50,8/22/2025 0:00,AZ,Without Baggage,1,745,8/5/2025,oneway,273.81
DXB,LTN,8/22/2025 4:25,8/22/2025 0:00,PC,Without Baggage,2,1300,8/5/2025,oneway,276.14
DXB,LHR,8/22/2025 1:05,8/22/2025 0:00,BA,Without Baggage,0,465,8/5/2025,oneway,276.26
DXB,LHR,8/22/2025 1:05,8/22/2025 0:00,BA,Without Baggage,0,465,8/5/2025,oneway,276.41
DXB,LGW,8/22/2025 23:25,8/22/2025 0:00,QR,With Baggage,1,615,8/5/2025,oneway,279.81
DXB,LHR,8/22/2025 11:45,8/22/2025 0:00,QR,With Baggage,1,795,8/5/2025,oneway,279.81
DXB,LTN,8/22/2025 3:10,8/22/2025 0:00,VF,Without Baggage,2,560,8/5/2025,oneway,282.0
DXB,LGW,8/22/2025 3:10,8/22/2025 0:00,VF,Without Baggage,2,1090,8/5/2025,oneway,282.0
DXB,LCY,8/22/2025 1:50,8/22/2025 0:00,AZ,Without Baggage,1,675,8/5/2025,oneway,283.39
DXB,LCY,8/22/2025 3:10,8/22/2025 0:00,VF,Without Baggage,2,1065,8/5/2025,oneway,283.49
